"SettlementType","StateCode","StateName","LGACode","LGA_AmapCode","LGAName","WardCode","Ward_AmapCode","WardName","SettlementObjectId","SettlementName","Weight","Lat","Lon","Direction","ClosestSettlement","ClosestNamedSettlement"
"BUA","BR","Borno","105","NIE BOS BBU","Biu","10511","NIE BOS BBU ZAR","Zarawuyaku","BUA_10511_6096","Yamarkumi","137","1353963.0","1193865.375","","",""
"BUA","BR","Borno","105","NIE BOS BBU","Biu","10502","NIE BOS BBU DUG","Dugja","BUA_10502_6648","Tabra Tsahuyam","117","1353059.375","1189523.25","","",""
"BUA","BR","Borno","105","NIE BOS BBU","Biu","10502","NIE BOS BBU DUG","Dugja","BUA_10502_7204","Diza","1107","1354766.25","1189165.75","","",""
"BUA","BR","Borno","105","NIE BOS BBU","Biu","10503","NIE BOS BBU GAL","Galdimari","BUA_10503_6647","Galdimare","804","1357226.375","1187275.75","","",""
"BUA","BR","Borno","105","NIE BOS BBU","Biu","10501","NIE BOS BBU BUR","Buratai","BUA_10501_6517","Buratai","132","1345679.125","1221617.0","","",""
"SSA","BR","Borno","105","NIE BOS BBU","Biu","10505","NIE BOS BBU GUN","Gunda","SSA_10505_11220","Manu Shodo","3","1295827.25","1215412.625","203","",""
"SSA","BR","Borno","115","NIE BOS KBG","Kala-Balge","11503","NIE BOS KBG JAR","Jarawa","SSA_11503_20408","Sangaya","3","1597276.125","1341579.875","55","",""
"SSA","BR","Borno","115","NIE BOS KBG","Kala-Balge","11502","NIE BOS KBG JIL","Jilbe","SSA_11502_1625","SSA_1","3","1625740.25","1324010.5","55","",""
"SSA","BR","Borno","115","NIE BOS KBG","Kala-Balge","11509","NIE BOS KBG SIG","Sigal","SSA_11509_2179","SSA_1","3","1615306.0","1380815.125","178","",""
"SSA","BR","Borno","115","NIE BOS KBG","Kala-Balge","11506","NIE BOS KBG MAD","Mada","SSA_11506_1534","SSA_15","3","1597668.125","1295055.625","68","",""
"SSA","BR","Borno","115","NIE BOS KBG","Kala-Balge","11510","NIE BOS KBG RAN","Rann","SSA_11510_2180","SSA_4","3","1605807.375","1379879.5","8","",""
"SSA","BR","Borno","115","NIE BOS KBG","Kala-Balge","11505","NIE BOS KBG KAL","Kala","SSA_11505_2132","Hesanaty","3","1611644.375","1362127.375","200","",""
"SSA","BR","Borno","101","NIE BOS ADM","Abadam","10101","NIE BOS ADM ARE","Arege","SSA_10101_2720","SSA_37","3","1504620.125","1513320.0","341","",""
"BUA","BR","Borno","101","NIE BOS ADM","Abadam","10101","NIE BOS ADM ARE","Arege","BUA_10101_7349","Bula Bul","185","1520041.5","1512868.375","","",""
"SSA","BR","Borno","101","NIE BOS ADM","Abadam","10108","NIE BOS  ADM YAU","Yau","SSA_10108_16403","Ngauro","3","1470745.25","1521746.625","278","",""
"SSA","BR","Borno","101","NIE BOS ADM","Abadam","10104","NIE BOS ADM FOG","Foguwa","SSA_10104_2634","Gasare","3","1433505.75","1512379.75","313","",""
"HA","BR","Borno","101","NIE BOS ADM","Abadam","10102","NIE BOS ADM BAN","Banowa","HA_10102_68135","HA_100","1.5","1476105.625","1463414.625","22","",""
"BUA","BR","Borno","101","NIE BOS ADM","Abadam","10111","NIE BOS ADM BUS","Busuna","BUA_10111_5769","Busuna Lawanti","104","1484345.625","1537194.125","","",""
"BUA","BR","Borno","112","NIE BOS HWL","Hawul","11206","NIE BOS HWL KWA","Kwajaffa","BUA_11206_7735","Kwajaffa Dispensary","133","1382027.625","1171904.875","","",""
"BUA","BR","Borno","112","NIE BOS HWL","Hawul","11201","NIE BOS HWL BIL","Bilingwi","BUA_11201_6541","Ghumma","306","1364706.875","1178593.75","","",""
"BUA","BR","Borno","112","NIE BOS HWL","Hawul","11205","NIE BOS HWL KID","Kidda","BUA_11205_8011","Kinging","94","1361439.875","1179278.25","","",""
"BUA","BR","Borno","112","NIE BOS HWL","Hawul","11202","NIE BOS HWL GRD","Grim Damchoba","BUA_11202_8207","Biila","49","1348286.125","1182750.875","","",""
