statename,statecode,geozone,lganame,lgacode,lgaamapcode,wardname,wardcode,settlementtype,settlementname,settlementobjectid,totalfeatures,campaign_id,campaignlabel,settlement_adjusted_pop,settlement_non_adjusted_pop,Population of visited denominators (adjusted),Population of visited denominators (unadjusted),Visited Denominators,E-Tally Coverage %,E-Tally Coverage % Rounded,E-Tally population,In E-Tally Targetted Ward
Bauchi,BA,NEZ,Bauchi,5002,NIE BAS BAU,Dan Amar B,BA0202,BUA,Karofi Madaki,BUA_BA0202_95229,1066,72,Jan 2016 IPD,18932.47743182,20125.9157429753,47.24111542,50.6198194026947,2,0.187617260787992,0-19%,6,No
Bauchi,BA,NEZ,Bauchi,5002,NIE BAS BAU,Dan Iya,BA0211,BUA,Unguwan Duhu,BUA_BA0211_90734,1048,72,Jan 2016 IPD,6829.23679929,6364.43567143663,6.18102625,5.18212774395943,1,0.0954198473282443,0-19%,0,No
Bauchi,BA,NEZ,Bauchi,5002,NIE BAS BAU,Hardo,BA0215,BUA,Hardo,BUA_BA0215_84279,219,72,Jan 2016 IPD,4609.93815847,4833.93375382572,44.14330556,45.826443195343,2,0.91324200913242,0-19%,2,No
Bauchi,BA,NEZ,Bauchi,5002,NIE BAS BAU,Makama A,BA0203,BUA,Makama A,BUA_BA0203_84281,800,72,Jan 2016 IPD,13836.73899626,15672.1009882838,12697.14291477,13397.0675799102,666,83.25,80-99%,12763,Yes
Bauchi,BA,NEZ,Bauchi,5002,NIE BAS BAU,Makama B,BA0218,BUA,Makama B,BUA_BA0218_84271,661,72,Jan 2016 IPD,11246.50841656,12619.6661978476,10337.35492703,10485.4491647482,613,92.7382753403933,80-99%,10219,Yes
Bauchi,BA,NEZ,Itas/Gadau,5010,NIE BAS TSG,Diga,BA1013,BUA,Babu Gudu Gabas,BUA_BA1013_88275,39,72,Jan 2016 IPD,668.4858308,424.56097534299,651.2913088,406.834050133824,38,97.4358974358974,80-99%,404,Yes
Bauchi,BA,NEZ,Itas/Gadau,5010,NIE BAS TSG,Diga,BA1013,BUA,Babu Gudu Yamma,BUA_BA1013_88279,55,72,Jan 2016 IPD,919.72035101,602.950281620026,845.46618302,522.684838145971,47,85.4545454545455,80-99%,313,Yes
Bauchi,BA,NEZ,Itas/Gadau,5010,NIE BAS TSG,Diga,BA1013,BUA,Nasarawo,BUA_BA1013_85134,61,72,Jan 2016 IPD,925.84751315,616.959122002125,907.10009747,562.196561992168,58,95.0819672131148,80-99%,928,Yes
Bauchi,BA,NEZ,Itas/Gadau,5010,NIE BAS TSG,Diga,BA1013,HA,Dadin Kowa,HA_BA1013_469853,16,72,Jan 2016 IPD,168.81603423,106.947579427659,109.9634263119,69.6635383201027,8,50,40-59%,119,Yes
Bauchi,BA,NEZ,Itas/Gadau,5010,NIE BAS TSG,Diga,BA1013,HA,Garin Dan Manu Fulani,HA_BA1013_469854,46,72,Jan 2016 IPD,325.84668526,210.427475148632,257.839227557912,166.509159379641,32,69.5652173913043,60-79%,155,Yes
